School Name,Region,District,Town/City,School Type,Contact Email,Contact Phone,Latitude,Longitude
"Breman Asikuma Senior High","Central","Asikuma/Odoben/Brakwa","Breman Asikuma","Mixed","beautiful_bass@yahoo.com","+233 24 969 0755, +233 24 454 0777, +233 33 209 1765, +233 54 372 2669","5.581607","-0.9989695"
"Bueman Senior High .","Oti","Jasikan","Jasikan","Mixed","busec1960@gmail.com","+233 24 456 9592","7.4074992","0.4728236"
"Buipe Senior High","Savannah","Central Gonja","Buipe","Mixed","buipeshs@ges.gov.gh","+233 24 967 5753, +233 24 561 3701, +233 50 520 2416","8.7894174","-1.4682039"
"Busunya Senior High","Bono East","Nkoranza North","Busunya","Mixed","busecmail@gmail.com","+233 24 366 8281","7.6830822","-1.6679835"
"Chiana Senior High","Upper East","Kasena-Nankani West","Chiana","Mixed","chianasec@gmail.com","020 561 9282, 024 528 1175, 050 885 4484","10.8554143","-1.2727878"
"Dadease Agric Senior High","Ashanti","Sekyere Kumawu","Dadease","Mixed","dadeaseagricshs@gmail.com","+233 24 862 2579, +233 32 209 1099, +233 32 239 5671, +233 24 465 0328, +233 24 082 7267","6.3306434","-1.9808261"
"Dadieso Senior High","Western North","Suaman","Dadieso","Mixed","dadiesoshs@yahoo.com","+233246944703","6.1080533","-3.0452475"
"Daffiamah Senior High","Upper West","Bussie-Issa","Daffiamah","Mixed","daffiamashs2018@gmail.com","024 399 9682, 054 800 2351","10.4171624","-2.5613049"
"Damongo Senior High","Savannah","West Gonja","Damongo","Mixed","damongoshs@ges.gov.gh","+233 (0)243418541, +233 (0)24 344 3761, +233 (0)20 685 5778","9.0850647","-1.8200755"
"Dofor Senior High","Volta","North Tongu","Juapong","Mixed","dorforshs@gmail.com","+233 20 443 3069, +233 24 344 7511","6.2545011","0.135253"
"Dompoase Senior High","Ashanti","Adansi North","Dompoase","Mixed","dompoaseshs1965@gmail.com","+233 20 422 1081, +233 24480 5912, +233 55 634 9017","6.3095235","-1.5309699"
"Donkorkrom Agric Senior High","Eastern","Kwahu Afram Plains North","Donkorkrom","Mixed","dashsdkrom@yahoo.com","+233 24 352 2733","7.0471118","-0.0809551"
"Dzolo Senior High","Volta","Ho West","Dzolo","Mixed","dzoloseniorhigh@gmail.com","+233 24 429 1932, +233 20 174 235, +233 24 267 5114, +233 24 429 1932","6.7875656","0.4403069"
"Edinaman Senior High","Central","Komenda/Edina/Eguafo/Abirem Municipal","Elmina","Mixed","edisecshs@yahoo.com","+233 24 332 0364, +233 24 364 9578, +233 24 476 6087","5.085879","-1.350578"
"Eguafo-Abrem Senior High","Central","Komenda/Edina/Eguafo/Abirem Municipal","Eguafo Abirem","Mixed","eguafoabremshs240@gmail.com","+233 24 330 6285, +233 24 368 6655","5.1302015","-1.4399593"
"Enyan-Abaasa Technical Institute","Central","Ajumako/Enyan/Esiam","Enyan Abaasa","Mixed","eabatech@gmail.com","+233 243 077 731, +233 241 425 851, +233 24 275 8765, +233 54 426 9397","5.3617412","-0.9453587"
"Fettehman Senior High","Central","Gomoa East","Gomoa Fetteh","Mixed","fettehmanshs@gmail.com","+233 20 986 4779, +233 20 505 8318","5.4207549","-0.4693429"
"Guakro Effah Senior High","Bono East","Techiman North","Offuman","Mixed","guakroeffah1991@gmail.com","+233 24 218 8838, +233 24 719 3310, +233 24 235 7246","7.787831","-1.9702177"
"Half Assini Senior High","Western","Jomoro","Half Assini","Mixed","hascoshs60@gmail.com","+233206777099","5.0513539","-2.885167"
"Islamic Girls Senior High,Suhum","Eastern","Suhum","Korase-Suhum","Girls","igshs1999@gmail.com","+233 24 415 7477, +233 24 496 1933","6.5","-0.5"
"Islamic Senior High,Kumasi","Ashanti","Kumasi Metro","Ampabame","Mixed","gmmissec@gmail.com","+233 24 423 3157","6.9444392","-1.6812274"
"Jema Senior High","Bono East","Kintampo South","Jema","Mixed","Jemashs@gmail.com","+233 35 202 8607","7.9047929","-1.7644223"
"Kadjebi-Asato Senior High","Oti","Kadjebi","Kadjeto-Asato","Mixed","kaseckosu@gmail.com","+233 20 797 7620, +233 24 425 7946","8.1","-1.2"
"Kajaji Senior High","Bono East","Sene East","Kajaji","Mixed","kajas911@gmail.com","0202730865","7.7823889","-0.2121905"
"Kalpohin Senior High","Northern","Sagnerigu Municipal","Tamale","Mixed","kalpohinshs@gmail.com","+233372022491","9.4051992","-0.8423986"
"Kanton Senior High","Upper West","Sisala East","Tumu","Mixed","kantonshs@gmail.com","+233392020854","10.892485","-1.9840812"
"Konadu Yiadom Catholic Senior High","Ashanti","Sekyere South","Asamang","Mixed","koyiss123@yahoo.com","+233 54 507 4632, +233 24 191 0303, +233 24 757 4906","6.7676435","-1.6936487"
"Kukuom Agric Senior High","Ahafo","Asunafo South","Kukuom","Mixed","kukuomagricshs1976@gmail.com","+233 24 882 4984, +233 20 81 4178, +233 20 847 4988","6.6847903","-2.4374575"
"Kwahu Ridge Senior High","Eastern","Kwahu South","Obo-Kwahu","Mixed","kwahurigdgeshs@gmail.com","+233 27 781 7115, +233 24 489 8059, +233 54 548 2781","6.6082956","-0.7724724"
"Kwahu Tafo Senior High","Eastern","Kwahu East","Kwahu Tafo","Mixed","kwahutafoshs.edu.gh@gmail.com","+233 24 285 0387, +233 20 819 0772","6.6581884","-0.6552285"
"Mansoman Senior High","Ashanti","Amansie West","Manso Atwere","Mixed","mansomanshs2017@yahoo.com","+233 24 336 0255, +233 32 219 6025","6.4574384","-1.8575073"
"Manya Krobo Senior High","Eastern","Lower Manya Krobo","Nuaso New Town","Mixed","manyakroboshs68@gmail.com","+233 24 705 8656, +233 30 393 1229","6.5","-0.5"
"Methodist High School,Saltpond","Central","Mfantseman Municipal","Saltpond","Mixed","methodisthigh@gmail.com","025 603 4516","5.203008","-1.057419"
"Mozano Senior High","Central","Gomoa West","Mozano","Mixed","greatmosec@gmail.com","+233 24 474 5978","5.5036348","-0.850912"
"New Edubiase Senior High","Ashanti","Adansi South","New Edubiase","Mixed","nessedubiase@hotmail.com","+233 24 447 2772","6.06106","-1.391838"
"Nkawkaw Senior High","Eastern","Kwahu West","Nkawkaw","Mixed","nkawkawsec@yahoo.com","+233 54 493 2318, +233 55 467 8056, +233 34 312 2204, +233 20 410 0934, +233 55 467 8056","6.552795","-0.769811"
"Nsaba Presby Senior High","Central","Agona East","Nsaba","Mixed","info@nsabapresec.net","+233 20 566 6658, +233 33 209 0069","5.6451356","-0.7501208"
"Nsawam Senior High","Eastern","Nsawam Adoagyiri Municipal","Nsawam","Mixed","nsasco91@gmail.com","+233 24 411 4222, +233 34 212 2146","5.814382","-0.345786"
"Ofoase Kokoben Senior High","Ashanti","Bekwai","Ofoase Kokobin","Mixed","ofkoss2010@gmail.com","+233 20 691 4152","6.75","-1.5"
"Osei Adutwum Senior High","Ashanti","Bosomtwe","Jachie","Mixed","oseiadutumsha2019@gmail.com","+233 24 311 2745","6.5700264","-1.5200748"
"Osei Bonsu Senior High","Bono East","Nkoranza North","Yefri","Mixed","yefriman.shs@gmail.com","+233 20 863 6191","7.6923806","-1.7486405"
"Otumfuo Osei Tutu II College","Ashanti","Afigya-Kwabre","Tetrem","Mixed","osec15@rocketmail.com","+233 20 745 0330, +233 24 424 5446, +233 24 482 5944","6.5548379","-1.9138049"
"S.D.A Senior High, Koforidua","Eastern","New Juaben North Municipal","Asokore-Koforidua","Mixed","sdaseniorhigh.ask@gmail.com","+233 24 409 9798, +233 24 464 1839","6.1145587","-0.2699188"
"Sakafia Islamic Senior High","Ashanti","Asokore Mampong Municipal","Sawaba","Mixed","gsakisco2013@gmail.com","+233 26 844 4619","6.75","-1.5"
"Salvation Army Senior High, Akim Wenchi","Eastern","Denkyembour","Akim Wenchi","Mixed","shssasec@gmail.com","+233 24 307 3518, +233 24 978 4089","5.9973888","-0.9296739"
"Samuel Otu Presby Senior High.","Ahafo","Tano South","Techimantia","Mixed","tpresbyshs@gmail.com","+233 20 665 7061, +233 24 951 2175","7.181951","-2.0288336"
"Sankore Senior High","Ahafo","Asunafo South","Sankore","Mixed","uniquesahis@gmail.com","+233 20 817 2431, +233 24 699 4588","6.5175229","-2.4987558"
"Saviour Senior High, Osiem","Eastern","Abuakwa North Municipal","Osiem","Mixed","savioursnrhigh@gmail.com","+233 24 341 2811, +233 24 409 1908","6.25358","-0.421964"
"Sefwi Bekwai Senior High","Western North","Bibiani Anhwiaso Bekwai","Sefwi Bekwai","Mixed","sebess91@yahoo.com","+233 24 365 2013, +233 50 390 7770, +233 50 678 3740","6.194544","-2.3222895"
"Shama Senior High","Western","Shama","Shama","Mixed","shass.high@yahoo.com","+233 27 527 8330, +233 54 966 0888","5.0102883","-1.6289843"
"Sogakofe Senior High","Volta","South Tongu Municipal","Sogakofe","Mixed","sogasco@ymail.com","+233 24 466 0594, +233 50 355 7792","5.9989117","0.5951312"
"St. Francis Seminary Senior High, Buoyem","Bono East","Techiman North","Buoyem","Boys","stfrancisshs@gmail.com","+233 20 906 9069, +233 50 663 9032","7.66519","-1.9632781"
"St. Jerome Senior High, Abofour","Ashanti","Offinso","Abofour","Mixed","stjeromeshs1@gmail.com","+233 20 863 3313","7.1349599","-1.7318724"
"St. Joseph Senior High, Sefwi Wiawso","Western North","Sefwi Wiawso","Sefwi Wiawso","Mixed","stjosephshs45.datano@gmail.com","+233 20 307 1140","6.2064665","-2.4855092"
"St. Martin's Senior High, Nsawam","Eastern","Nsawam Adoagyiri Municipal","Nsawam","Mixed","stmartinshs@gmail.com","+233 26 235 6430, +233 20 817 1205, +233 24 216 7471, +233 55 533 8770","5.814382","-0.345786"
"St. Michael's Senior High, Ahenkro","Ashanti","Afigya-Kwabre","Ahenkro","Mixed","stmichaelsseniorhighschool@gmail.com","+233 32 249 1190, +233 54 478 2625, +233 20 097 3248","6.8745359","-1.6405664"
"St. Michael's Senior High, Akoase (Nkawkaw)","Eastern","Birim North","Akoase","Mixed","abams770@outlook.com","+233 24 454 2765, +233 54 463 1550","6.5496523","-0.2382606"
"St. Paul's Senior High, Denu","Volta","Ketu South","Hatsukope/ Denu","Boys","greatspaco1958@gmail.com","+233 55 675 4672, +233 24 796 4562","6.1242523","1.1272868"
"Sumaman Senior High","Bono","Jaman North","Suma-Ahenkro","Mixed","sumamanhighschool@gmail.com","+233 20 817 4233","7.916847","-2.7156757"
"Swedru Senior High","Central","Agona East","Swedru","Mixed","swedrusecondaryschool@yahoo.com","+233 24 487 7941, +233 24 958 3601, +233 24 725 5718, +233 24 451 3401","5.534454","-0.700763"
"T. I. Ahmadiyya Senior High, Wa","Upper West","Wa Municipal","Wa","Mixed","uniqueamass.wa@gmail.com","+233 24 698 5569","10.0623261","-2.5054273"
"Tamale Girls Senior High","Northern","Tamale Metro","Tamale","Girls","pagnaa99@gmail.com","+233244221890","9.4051992","-0.8423986"
"Tanyigbe Senior High","Volta","Ho Municipal","Tanyigbe","Mixed","icttashs@gmail.com","+233 24 252 3971, +233 24 311 5791","6.6986217","0.5262272"
"Tarkwa Senior High","Western","Tarkwa-Nsuaem","Tarkwa","Mixed","tarsco77@yahoo.com","+233 55 983 1118, +233 20 816 5898, +233 24 271 0390, +233 31 232 0358","5.310935","-1.992426"
"Techiman Senior High","Bono East","Techiman","Techiman","Mixed","techimanshs@gmail.com","+233 24 643 9713, +233 35 209 1688","7.584846","-1.9267309"
"Tepa Senior High","Ashanti","Ahafo Ano North","Tepa","Mixed","tepashs@ymail.com","+233 27 785 8643, +233 32 219 4490","7.0048059","-2.163816"
"Terchire Senior High","Ahafo","Tano North","Terchire","Mixed","terchireshs@gmail.com","+233 24 471 3468, +233 24 204 5470","7.2316721","-2.1751937"
"Toase Senior High","Ashanti","Atwima Nwabiagya","Toase","Mixed","info@toss.edu.gh","+233 24 492 6572","6.6595565","-1.8133021"
"Ullo Senior High","Upper West","Jirapa","Ullo","Mixed","Ulloshs91@yahoo.com","+233 24 262 9225, +233 20 749 1239","10.690397","-2.5639983"
"University Practice Senior High","Central","Cape Coast","Cape Coast","Mixed","upshs@yahoo.com","+233 24 712 7737, +233 24 450 8852, +233 27 774 2638, +233 50 980 0062","5.1080932","-1.2417103"
"Worawora Senior High","Oti","Biakoye","Worawora","Mixed","woraworashs@gmail.com","+233 24 991 8218","7.5067042","0.3778874"
